105.838,20.651,"[105.838,20.651],"
105.838,20.646,"[105.838,20.646],"
105.836,20.642,"[105.836,20.642],"
105.818,20.632,"[105.818,20.632],"
105.816,20.628,"[105.816,20.628],"
105.818,20.625,"[105.818,20.625],"
105.817,20.623,"[105.817,20.623],"
105.819,20.621,"[105.819,20.621],"
105.819,20.616,"[105.819,20.616],"
105.81,20.61,"[105.81,20.61],"
105.814,20.608,"[105.814,20.608],"
105.816,20.604,"[105.816,20.604],"
105.812,20.6,"[105.812,20.6],"
105.813,20.599,"[105.813,20.599],"
105.811,20.594,"[105.811,20.594],"
105.809,20.593,"[105.809,20.593],"
105.806,20.594,"[105.806,20.594],"
105.805,20.592,"[105.805,20.592],"
105.806,20.583,"[105.806,20.583],"
105.803,20.58,"[105.803,20.58],"
105.8,20.567,"[105.8,20.567],"
105.795,20.563,"[105.795,20.563],"
105.79,20.562,"[105.79,20.562],"
105.786,20.563,"[105.786,20.563],"
105.784,20.561,"[105.784,20.561],"
105.767,20.561,"[105.767,20.561],"
105.765,20.563,"[105.765,20.563],"
105.762,20.574,"[105.762,20.574],"
105.743,20.591,"[105.743,20.591],"
105.742,20.595,"[105.742,20.595],"
105.734,20.595,"[105.734,20.595],"
105.728,20.598,"[105.728,20.598],"
105.725,20.594,"[105.725,20.594],"
105.72,20.592,"[105.72,20.592],"
105.717,20.594,"[105.717,20.594],"
105.705,20.596,"[105.705,20.596],"
105.7,20.601,"[105.7,20.601],"
105.701,20.606,"[105.701,20.606],"
105.699,20.616,"[105.699,20.616],"
105.692,20.617,"[105.692,20.617],"
105.688,20.612,"[105.688,20.612],"
105.664,20.613,"[105.664,20.613],"
105.662,20.616,"[105.662,20.616],"
105.66,20.63,"[105.66,20.63],"
105.668,20.636,"[105.668,20.636],"
105.673,20.636,"[105.673,20.636],"
105.679,20.633,"[105.679,20.633],"
105.68,20.634,"[105.68,20.634],"
105.68,20.637,"[105.68,20.637],"
105.678,20.638,"[105.678,20.638],"
105.675,20.644,"[105.675,20.644],"
105.676,20.65,"[105.676,20.65],"
105.675,20.654,"[105.675,20.654],"
105.676,20.656,"[105.676,20.656],"
105.674,20.66,"[105.674,20.66],"
105.675,20.664,"[105.675,20.664],"
105.669,20.669,"[105.669,20.669],"
105.665,20.677,"[105.665,20.677],"
